1,2,3,4,5,6,7,8,9,10
1.516280977,14.92477801,0,2.277062157,73.29798224,0,8.734213111,0.66899112,0,0
1.516956727,14.64885345,0,2.391146552,73.25123006,0.006393319,8.970778287,0.656803341,0,0
1.517589728,14.27196404,2.090868028,1.67511399,72.61342396,0,9.068722036,0.246391953,0,0
1.51703996,14.31254672,0,2.054985842,73.34249009,0,8.594985842,1.644985842,0.01750991,0
1.518287479,14.39723883,0,1.823619416,72.86321726,1.381647908,6.511422205,2.854060852,0.001608629,0
1.516808814,14.90169511,0,1.99,73.06762704,0,8.381695113,1.608304887,0,0
1.51534797,14.30254086,0,2.64177432,73.11974449,0.055188067,9.130120621,0.665819714,0.001518807,0
1.518175368,15.06350859,0.247286569,1.733786656,72.64406906,0.041890074,8.61,1.567566805,0,0
1.514171794,14.64735228,0.783571193,2.023711121,74.09377247,0,8.029737383,0.307816168,0,0
1.516650621,14.92996894,0,1.930186369,73.08492235,0,8.534580671,1.485326145,0,0
1.516349707,14.31970682,0,2.754792111,73.03046376,0.011833689,9.328704687,0.498582088,0.0266258,0
1.51565996,13.92949999,0,2.563799994,73.18478001,0.123340004,9.414759999,0.777870008,0.00881,0
1.516028238,14.86882896,0,2.395298528,73.25293337,0.005884049,8.768237669,0.627055091,0.079408711,0
1.516164823,14.31306253,0,2.725146746,72.98367928,0.019804338,9.355929394,0.557328796,0.012377711,0
1.515346168,14.85,0,2.410628746,73.61691621,0,8.476684099,0.578742508,0.021085321,0
1.516646002,14.59812285,0,2.441877155,73.2226941,0.012734644,8.991387594,0.653632678,0,0
1.518696156,14.28824866,0,2.053116003,73.386884,0,8.539348009,1.656558001,0,0
1.516047533,14.91293339,0,2.431133381,73.18953325,0.019666685,8.787533359,0.596733293,0.054599967,0
1.515706209,14.95014603,0,2.336603385,73.35344042,0,8.619795553,0.636661799,0.05995619,0
1.517105655,14.52833696,0,1.950199493,73.20991114,0.262616971,8.138180999,1.813991654,0.056962278,0
1.516243381,14.93332248,0,2.274669704,73.2986658,0,8.726010415,0.669332899,0,0
1.51594134,14.09698834,0,2.630795337,73.05748886,0.076443264,9.428159067,0.687426295,0.005460233,0
1.515436767,14.85,0,2.406510594,73.57161654,0,8.514777001,0.586978811,0.030351162,0
1.516178625,14.98671721,0,2.497232021,73.06727433,0.046244712,8.839012691,0.539763749,0,0
1.516067575,14.95874357,0,2.468354154,73.12368111,0.033982367,8.807575314,0.565238793,0.02883174,0
1.516170225,14.94994892,0,2.270014303,73.29999591,0,8.710049038,0.669997957,0,0
1.516162316,14.95576334,0,2.293053344,73.2759861,0.00480278,8.721526672,0.656552216,0,0
1.517071167,14.75974038,0,1.998051924,73.03753268,0,8.481298109,1.613376908,0.064415395,0
1.515965582,14.11141807,0,2.636567229,73.04652227,0.07240294,9.429313446,0.679634241,0.005171639,0
1.516976812,14.77702402,0,2.382238977,73.22285315,0.012423229,8.920184251,0.627699606,0,0
1.515561344,14.89090723,0,2.358639155,73.54818963,0,8.520903136,0.604997953,0,0
1.51629867,14.26867025,0,2.769802868,73.21359499,0.023842294,9.205616483,0.45655197,0.053645162,0
1.518356771,14.99375075,0.633720799,1.884403827,72.60314559,0.009376872,9.73995807,0.099394842,0,0
1.515494841,14.37830421,0,2.673566301,73.05760531,0.03321685,9.142744141,0.623042124,0,0
1.516607277,14.81212323,0,1.99,73.10494865,0,8.292123235,1.697876765,0,0
1.516551614,14.62968315,0,1.969724185,73.31275815,0,8.36110326,1.653227718,0,0
1.519064036,14.43789324,0.267329439,1.970044483,72.65774479,0,10.56126105,0,0,0
1.51526722,15.11564771,0,2.253435229,73.46564771,0,8.403551734,0.636870458,0,0
1.51660156,14.80958204,0,1.99,73.10600748,0,8.289582045,1.700417955,0,0
1.515388641,14.24518685,0,2.671234429,73.26289923,0.062468859,9.074382785,0.623148356,0.028086074,0
1.517126633,14.33811205,0,2.063367377,73.28931135,0,8.6012883,1.653367377,0.016632623,0
1.516342634,14.29238713,0,2.787242618,72.76901266,0.026995782,9.358889237,0.715472581,0,0
1.516848952,14.9011348,0,1.989475967,73.07205277,0,8.4062884,1.588951933,0.003668233,0
1.51905,14,2.39,1.56,72.37,0,9.57,0,0,0
1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,0
1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,0
1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,0
1.519086511,13.89005492,2.336626392,1.346752709,72.72998352,0,9.619917619,0,0,0
1.519242667,13.85518474,2.291777476,1.636815051,72.346074,0.095703997,9.586370421,0.030222315,0.064222419,0
1.517809016,14.33084695,2.137568269,1.657855205,72.54032793,0,9.128620171,0.169235034,0,0
1.519300174,13.45356339,2.232259904,1.40265333,72.73778249,0.190435818,9.871565769,0,0,0
1.518566506,14.08210271,2.20754953,1.651225235,72.64367571,0,9.341936912,0,0,0
1.518887713,14.02755811,2.328759753,1.590620124,72.46186037,0,9.493449691,0,0,0
1.519229597,13.88213919,2.401224839,1.352340483,72.58888436,0,9.682248387,0,0,0
1.519989152,14.37639161,2.193719372,1.808774865,71.77363144,0.282672243,9.483652351,0,0,0
1.519121506,13.9530742,2.394469124,1.477321214,72.45714791,0,9.614691236,0,0,0
1.519072372,13.79826743,2.352127973,1.245116216,72.79123252,0,9.668953604,0.069813874,0,0
1.518548034,14.30382136,2.290927819,1.599628872,72.37660481,0,9.365250826,0,0,0
1.519502194,13.68730359,2.322598801,1.297066469,72.69663413,0.083031139,9.762352395,0.02622036,0.055718265,0
1.519161042,13.927129,2.396940095,1.431608238,72.50533186,0,9.639400952,0,0,0
1.51666,12.86,0,1.83,73.88,0.97,10.17,0,0,0
1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0,0
1.519020266,12.49376072,0,1.552507144,74.05307562,0.871703098,10.97895342,0,0,0
1.517162508,13.11929415,0,1.882260837,73.65085633,0.775026879,10.31271228,0,0,0
1.518791927,12.91176864,0.155305925,1.679400315,73.64939423,0.574675828,10.68768642,0,0.131774724,0
1.516600548,12.44383765,0,1.537314394,74.47451764,1.761165778,9.602921639,0,0,0
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,0
1.517933503,14.2802131,3.256210772,2.19410694,71.34851993,1.478946141,5.767264631,1.602212326,0,0
1.518170082,14.64378911,2.377347895,2.720225753,70.0822731,1.192196019,6.845607962,2.014848124,0,0
1.519004236,14.49412279,3.090615245,2.112209702,71.15287028,1.323781491,6.124031474,1.635922544,0,0
1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,0
1.519969728,12.39254833,0.262821339,1.636167298,73.70235403,0.410739338,11.5438327,0,0,0
1.519741608,12.77005123,0,1.672707357,73.60137002,0.398578747,11.48664959,0,0,0
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0,0
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,0
1.523073662,15.33576772,2.010716068,1.676316354,70.34696829,0.529789813,9.171685077,0.859451366,0,0
1.522965329,15.25038623,2.044685047,1.745172393,70.33136092,0.571103436,9.277264335,0.705213841,0,0
1.522489179,15.54719615,1.94594566,1.608730584,70.3563404,0.496877123,8.236245754,1.750931463,0,0
1.522619875,14.97812152,2.153005418,1.964740712,70.28159211,0.702844427,9.613935759,0.213380804,0,0
1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,0
1.514466433,14.15549517,1.758808064,1.657550401,73.86820768,0,8.097817731,0.357353218,0,0
1.512505789,14.19536301,2.16080282,1.6178197,74.04849527,0.507269153,6.967442404,0.34298312,0,0
1.51313418,14.43017725,1.623314646,1.599013283,74.49433974,0,7.643648439,0.037553907,0,0
1.512692533,13.80551188,3.012293201,2.420047096,71.75595413,1.731122031,5.58882883,1.554584359,0,0
1.513143328,13.84317622,2.951088641,2.618961917,71.41226698,1.721705945,5.640617304,1.673462447,0,0
1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0,0
1.512005027,13.98373166,2.595988418,1.698299228,73.52984942,1.03187645,6.323606176,0.69768919,0,0
1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,0
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,0
1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,0
1.521068307,11.85327366,1.872480162,1.635198376,72.81738759,0.502585963,11.07912715,0,0,0
1.519715659,12.77746792,1.755064167,1.98262545,72.48826136,0.663290555,9.935729272,0.094935833,0.201738644,0
1.520935874,11.44356517,1.744058308,1.632982088,73.25754478,0.584865473,11.24779135,0,0,0
1.519962503,12.35866091,1.859521515,1.764784848,72.74395525,0.558740101,10.50894667,0,0,0
1.5204419,12.1395611,1.865139459,1.708605411,72.77579027,0.534395678,10.75613619,0,0,0
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,0
1.522961083,13.45184098,3.298018354,1.245070335,72.39937614,0.583853213,8.82569419,0.020452597,0,0
1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0,0
1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,0
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,0
1.521378335,13.33520452,0,1.690959921,72.71931965,0.412466601,11.67287151,0,0,0
1.520990071,13.181925,0.286015566,1.383378145,73.40199575,0.112672799,11.26333569,0,0.242679874,0
1.52072411,13.38541307,0,1.416239215,72.24729346,0.329097821,12.47654336,0,0,0
1.520477938,13.94343579,0,1.941622893,72.58871354,0.093099361,11.27567229,0,0,0
1.51969,14.56,0,0.56,73.48,0,11.22,0,0,0
1.520392864,14.36319821,0,0.739230199,73.25859799,0.056229082,11.3992302,0,0,0
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,0
1.514888003,13.88400145,2.338913015,3.441455219,69.96509005,2.256538822,6.008725677,1.920003221,0,0
1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,0
1.51321,13,0,3.02,70.7,6.21,6.93,0,0,0
1.51237251,13.30414106,1.410509273,2.486651181,71.63005455,4.248510542,6.268823778,0.524533136,0,0
1.513533786,13.2068928,0.50593203,3.12683908,70.36861944,5.354823844,6.754229137,0.415317338,0,0
1.513161484,13.01940631,0,3.03940631,70.48653059,6.21,6.959109465,0,0,0
1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,0
1.519681381,14.36467932,0,2.00128272,73.46445354,0,8.44935864,1.62362238,0,0
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,1
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,1
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,1
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,1
1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11,1
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,1
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,1
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,1
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,1
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,1
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,1
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,1
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,1
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,1
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,1
1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0,1
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,1
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,1
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,1
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,1
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,1
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,1
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,1
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,1
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,1
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,1
1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0,0,1
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,1
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0,0.3,1
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,1
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,1
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,1
1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,1
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,1
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,1
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,1
1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,1
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,1
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,1
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,1
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,1
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,1
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,1
1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,1
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,1
1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,1
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,1
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,1
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2,1
1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,1
1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0,0.21,1
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,1
1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0,0.12,1
1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0,0,1
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0,0.28,1
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,1
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,1
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,1
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,1
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,1
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,1
1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,1
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,1
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,1
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,1
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,1
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,1
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,1
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,1
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0,1
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,1
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,1
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,1
1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,1
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0,1
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0,1
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32,1
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0,0,1
1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,1
1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,1
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,1
1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,1
1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,1
1.518,13.71,3.93,1.54,71.81,0.54,8.21,0,0.15,1
1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,1
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,1
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,1
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,1
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0,1
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,1
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,1
1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,1
1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0,0.11,1
1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,1
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,1
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,1
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,1
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,1
1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,1
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,1
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,1
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,1
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,1
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,1
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,1
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,1
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,1
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,1
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,1
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0,0,1
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0,0,1
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,1
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,1
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,1
1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,1
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,1
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,1
1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,1
1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,1
1.52739,11.02,0,0.75,73.08,0,14.96,0,0,1
1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0,1
1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,1
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,1
1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,1
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,1
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,1
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,1
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,1
1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0,1
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,1
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,1
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,1
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,1
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0,1
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,1
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,1
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,1
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,1
